"","Source","Site_name","Site","Core","Plot","Replicate","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","BD_reported_g_cm3"
"1","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0,0.02,"LOI","0.4*x + 0.0025*x2",5.13,0.305
"2","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.02,0.04,"LOI","0.4*x + 0.0025*x2",5.13,0.441
"3","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.04,0.06,"LOI","0.4*x + 0.0025*x2",6.04,0.468
"4","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.06,0.08,"LOI","0.4*x + 0.0025*x2",4.48,0.486
"5","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.08,0.1,"LOI","0.4*x + 0.0025*x2",4.15,0.473
"6","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.1,0.12,"LOI","0.4*x + 0.0025*x2",4.94,0.517
"7","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.12,0.14,"LOI","0.4*x + 0.0025*x2",4.57,0.7
"8","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.14,0.16,"LOI","0.4*x + 0.0025*x2",4.41,0.632
"9","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.16,0.18,"LOI","0.4*x + 0.0025*x2",4.14,0.799
"10","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.18,0.2,"LOI","0.4*x + 0.0025*x2",4.06,0.777
"11","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.2,0.22,"LOI","0.4*x + 0.0025*x2",3.26,0.716
"12","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.22,0.24,"LOI","0.4*x + 0.0025*x2",3.71,0.647
"13","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.24,0.26,"LOI","0.4*x + 0.0025*x2",3.53,0.782
"14","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.26,0.28,"LOI","0.4*x + 0.0025*x2",3.4,0.759
"15","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.28,0.3,"LOI","0.4*x + 0.0025*x2",3.3,0.806
"16","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.3,0.32,"LOI","0.4*x + 0.0025*x2",3.56,0.745
"17","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.32,0.34,"LOI","0.4*x + 0.0025*x2",3.04,0.902
"18","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.34,0.36,"LOI","0.4*x + 0.0025*x2",3.14,0.818
"19","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.36,0.38,"LOI","0.4*x + 0.0025*x2",3.06,0.966
"20","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0,0.02,"LOI","0.4*x + 0.0025*x2",9.18,0.302
"21","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.02,0.04,"LOI","0.4*x + 0.0025*x2",11.42,0.26
"22","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.04,0.06,"LOI","0.4*x + 0.0025*x2",10.6,0.253
"23","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.06,0.08,"LOI","0.4*x + 0.0025*x2",12.53,0.253
"24","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.08,0.1,"LOI","0.4*x + 0.0025*x2",13.13,0.297
"25","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.1,0.12,"LOI","0.4*x + 0.0025*x2",9.85,0.321
"26","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.12,0.14,"LOI","0.4*x + 0.0025*x2",7.92,0.39
"27","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.14,0.16,"LOI","0.4*x + 0.0025*x2",9.44,0.328
"28","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.16,0.18,"LOI","0.4*x + 0.0025*x2",8.16,0.498
"29","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.18,0.2,"LOI","0.4*x + 0.0025*x2",7.18,0.488
"30","Gu et al 2020","JG LP2-1","La Pocatiere","LP2-1","LP2","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.2,0.22,"LOI","0.4*x + 0.0025*x2",5.63,0.597
"31","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0,0.02,"LOI","0.4*x + 0.0025*x2",19.28,0.202
"32","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.02,0.04,"LOI","0.4*x + 0.0025*x2",18.47,0.223
"33","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.04,0.06,"LOI","0.4*x + 0.0025*x2",16.75,0.227
"34","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.06,0.08,"LOI","0.4*x + 0.0025*x2",14.97,0.254
"35","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.08,0.1,"LOI","0.4*x + 0.0025*x2",8.63,0.318
"36","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.1,0.12,"LOI","0.4*x + 0.0025*x2",7.26,0.389
"37","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.12,0.14,"LOI","0.4*x + 0.0025*x2",6.98,0.507
"38","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.14,0.16,"LOI","0.4*x + 0.0025*x2",4.95,0.54
"39","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.16,0.18,"LOI","0.4*x + 0.0025*x2",3.97,0.607
"40","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.18,0.2,"LOI","0.4*x + 0.0025*x2",4.61,0.573
"41","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.2,0.22,"LOI","0.4*x + 0.0025*x2",4.19,0.668
"42","Gu et al 2020","JG LP3-1","La Pocatiere","LP3-1","LP3","Oct","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2018",0.22,0.24,"LOI","0.4*x + 0.0025*x2",3.09,0.86
"43","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0,0.02,"LOI","0.4*x + 0.0025*x2",5.34,0.384
"44","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.02,0.04,"LOI","0.4*x + 0.0025*x2",6.11,0.374
"45","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.04,0.06,"LOI","0.4*x + 0.0025*x2",6.27,0.472
"46","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.06,0.08,"LOI","0.4*x + 0.0025*x2",4.23,0.645
"47","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.08,0.1,"LOI","0.4*x + 0.0025*x2",3.44,0.698
"48","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.1,0.12,"LOI","0.4*x + 0.0025*x2",3.35,0.69
"49","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.12,0.14,"LOI","0.4*x + 0.0025*x2",3.2,0.776
"50","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.14,0.16,"LOI","0.4*x + 0.0025*x2",3.3,0.723
"51","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.16,0.18,"LOI","0.4*x + 0.0025*x2",3.61,0.725
"52","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.18,0.2,"LOI","0.4*x + 0.0025*x2",3.65,0.697
"53","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.2,0.22,"LOI","0.4*x + 0.0025*x2",3.64,0.709
"54","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.22,0.24,"LOI","0.4*x + 0.0025*x2",3.59,0.734
"55","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.24,0.26,"LOI","0.4*x + 0.0025*x2",3.3,0.788
"56","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.26,0.28,"LOI","0.4*x + 0.0025*x2",3.13,0.926
"57","Gu et al 2020","JG LP1-2","La Pocatiere","LP1-2","LP1","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.28,0.3,"LOI","0.4*x + 0.0025*x2",3.21,0.861
"58","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0,0.02,"LOI","0.4*x + 0.0025*x2",7.34,0.299
"59","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.02,0.04,"LOI","0.4*x + 0.0025*x2",9.87,0.301
"60","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.04,0.06,"LOI","0.4*x + 0.0025*x2",10.87,0.259
"61","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.06,0.08,"LOI","0.4*x + 0.0025*x2",10.08,0.3
"62","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.08,0.1,"LOI","0.4*x + 0.0025*x2",10.52,0.299
"63","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.1,0.12,"LOI","0.4*x + 0.0025*x2",8.47,0.411
"64","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.12,0.14,"LOI","0.4*x + 0.0025*x2",8.25,0.357
"65","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.14,0.16,"LOI","0.4*x + 0.0025*x2",7.12,0.476
"66","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.16,0.18,"LOI","0.4*x + 0.0025*x2",8.1,0.532
"67","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.18,0.2,"LOI","0.4*x + 0.0025*x2",6.03,0.636
"68","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.2,0.22,"LOI","0.4*x + 0.0025*x2",5.11,0.65
"69","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.22,0.24,"LOI","0.4*x + 0.0025*x2",4.86,0.821
"70","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.24,0.26,"LOI","0.4*x + 0.0025*x2",3.76,0.764
"71","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.26,0.28,"LOI","0.4*x + 0.0025*x2",3.62,0.779
"72","Gu et al 2020","JG LP2-2","La Pocatiere","LP2-2","LP2","May","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2019",0.28,0.3,"LOI","0.4*x + 0.0025*x2",3.65,0.892
"73","Gu et al 2020","JG LP3-2","La Pocatiere","LP3-2","LP3","May","Salt marsh",47.3759045580245,-70.05544224826,"estimated from GE","2","Canada","2019",0,0.02,"LOI","0.4*x + 0.0025*x2",11.93,0.194
