"","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3"
"1","Ruranska et al 2020","PR Aberlady Bay","Aberlady Bay","Salt marsh",56.022622,-2.869309,"direct from dataset","1","UK",2019,0,0.1,"EA",6.56,1.25,1.35
"2","Ruranska et al 2020","PR Aberlady Bay","Aberlady Bay","Salt marsh",56.022698,-2.869026,"direct from dataset","1","UK",2019,0,0.1,"EA",4.79,1.85,1.43
"3","Ruranska et al 2020","PR Aberlady Bay","Aberlady Bay","Salt marsh",56.023257,-2.868471,"direct from dataset","1","UK",2019,0,0.1,"EA",11.97,1.9,1.29
"4","Ruranska et al 2020","PR Aberlady Bay","Aberlady Bay","Salt marsh",56.02342,-2.868163,"direct from dataset","1","UK",2019,0,0.1,"EA",12.52,2.55,1.4
"5","Ruranska et al 2020","PR Aberlady Bay","Aberlady Bay","Salt marsh",56.023522,-2.867744,"direct from dataset","1","UK",2019,0,0.1,"EA",11.52,3.39,1.23
"6","Ruranska et al 2020","PR Annan","Annan","Salt marsh",54.9708,-3.2647,"direct from dataset","1","UK",2019,0,0.1,"EA",9.39,7.17,1.14
"7","Ruranska et al 2020","PR Annan","Annan","Salt marsh",54.9698,-3.2639,"direct from dataset","1","UK",2019,0,0.1,"EA",8.66,7.07,1.05
"8","Ruranska et al 2020","PR Annan","Annan","Salt marsh",54.9712,-3.2654,"direct from dataset","1","UK",2019,0,0.1,"EA",9.19,20.6,0.4
"9","Ruranska et al 2020","PR Annan","Annan","Salt marsh",54.9711,-3.2654,"direct from dataset","1","UK",2019,0,0.1,"EA",10.02,22.1,0.54
"10","Ruranska et al 2020","PR Annan","Annan","Salt marsh",54.9697,-3.2633,"direct from dataset","1","UK",2019,0,0.1,"EA",6.49,2.19,1.4
"11","Ruranska et al 2020","PR Ardelve","Ardelve","Salt marsh",57.28130278,-5.533855556,"direct from dataset","1","UK",2019,0,0.1,"EA",13.82,44.1,0.25
"12","Ruranska et al 2020","PR Ardelve","Ardelve","Salt marsh",57.2812,-5.533833333,"direct from dataset","1","UK",2019,0,0.1,"EA",18.23,36.49,0.24
"13","Ruranska et al 2020","PR Ardelve","Ardelve","Salt marsh",57.28144722,-5.53365,"direct from dataset","1","UK",2019,0,0.1,"EA",29.36,58.1,0.16
"14","Ruranska et al 2020","PR Ardelve","Ardelve","Salt marsh",57.28132222,-5.533666667,"direct from dataset","1","UK",2019,0,0.1,"EA",16.13,52.88,0.17
"15","Ruranska et al 2020","PR Ardelve","Ardelve","Salt marsh",57.28148611,-5.533491667,"direct from dataset","1","UK",2019,0,0.1,"EA",22.83,63.15,0.18
"16","Ruranska et al 2020","PR Ardmore","Ardmore","Salt marsh",55.973184,-4.6924957,"direct from dataset","1","UK",2019,0,0.1,"EA",23.35,30.54,0.37
"17","Ruranska et al 2020","PR Ardmore","Ardmore","Salt marsh",55.973241,-4.6924737,"direct from dataset","1","UK",2019,0,0.1,"EA",5.24,16.41,0.52
"18","Ruranska et al 2020","PR Ardmore","Ardmore","Salt marsh",55.973103,-4.6925247,"direct from dataset","1","UK",2019,0,0.1,"EA",21.69,57.93,0.22
"19","Ruranska et al 2020","PR Ardmore","Ardmore","Salt marsh",55.972979,-4.6925622,"direct from dataset","1","UK",2019,0,0.1,"EA",17.85,36.02,0.26
"20","Ruranska et al 2020","PR Ardmore","Ardmore","Salt marsh",55.97288,-4.6925864,"direct from dataset","1","UK",2019,0,0.1,"EA",16.95,52.48,0.23
"21","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",7.18,NA,0.56
"22","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",9.2,NA,0.45
"23","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",8.51,NA,0.28
"24","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",8.32,NA,0.28
"25","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",7.93,NA,0.55
"26","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",7.4,NA,0.54
"27","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",13.26,NA,0.27
"28","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",9.73,NA,0.3
"29","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",8.15,NA,0.61
"30","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",7.91,NA,0.43
"31","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",7.76,NA,0.47
"32","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",6.77,NA,0.7
"33","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",12.93,NA,0.3
"34","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",11.23,NA,0.35
"35","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",7.02,NA,0.77
"36","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",10.02,NA,0.51
"37","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",12.29,NA,0.44
"38","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",8.89,NA,0.51
"39","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00325372,-2.59876978,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.57
"40","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00319275,-2.5989909,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.46
"41","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00314484,-2.59941866,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.51
"42","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00309173,-2.59983048,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.31
"43","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00307417,-2.60026727,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.19
"44","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00307417,-2.60026727,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.71
"45","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00310657,-2.60085342,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.45
"46","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00310657,-2.60085342,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.94
"47","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00316974,-2.60141202,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.28
"48","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00316974,-2.60141202,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.7
"49","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00312718,-2.60187292,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.35
"50","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00312718,-2.60187292,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.35
"51","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00309109,-2.6020246,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.2
"52","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00388108,-2.60157871,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.32
"53","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00388108,-2.60157871,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.39
"54","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.29
"55","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.8
"56","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00355049,-2.60121371,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.27
"57","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00337505,-2.60114122,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.32
"58","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.36
"59","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00305859,-2.60098691,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.55
"60","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00283584,-2.600737,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.18
"61","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00265462,-2.60056717,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.21
"62","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00265462,-2.60056717,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.51
"63","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00241896,-2.60026555,"direct from dataset","1","UK",2018,0,0.1,"EA",NA,NA,0.3
"64","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.009254,-2.572521,"direct from dataset","1","UK",2018,0,0.1,"EA",0.6,NA,NA
"65","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.008256,-2.57163,"direct from dataset","1","UK",2018,0,0.1,"EA",0.39,NA,NA
"66","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.008142,-2.569925,"direct from dataset","1","UK",2018,0,0.1,"EA",0.69,NA,NA
"67","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.006219,-2.5683,"direct from dataset","1","UK",2018,0,0.1,"EA",0.45,NA,NA
"68","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.005111,-2.566979,"direct from dataset","1","UK",2018,0,0.1,"EA",1.32,NA,NA
"69","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.004328,-2.565323,"direct from dataset","1","UK",2018,0,0.1,"EA",0.77,NA,NA
"70","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.003884,-2.562017,"direct from dataset","1","UK",2018,0,0.1,"EA",0.47,NA,NA
"71","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.001625,-2.598591,"direct from dataset","1","UK",2018,0,0.1,"EA",0.96,NA,NA
"72","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.001909,-2.600013,"direct from dataset","1","UK",2018,0,0.1,"EA",6.05,NA,NA
"73","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.00177,-2.600683,"direct from dataset","1","UK",2018,0,0.1,"EA",6.95,NA,NA
"74","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.001546,-2.600974,"direct from dataset","1","UK",2018,0,0.1,"EA",6.54,NA,NA
"75","Ruranska et al 2020","PR Belhaven","Belhaven","Salt marsh",56.001444,-2.601098,"direct from dataset","1","UK",2018,0,0.1,"EA",7.31,NA,NA
"76","Ruranska et al 2020","PR Bogside Flats","Bogside Flats","Salt marsh",55.618858,-4.6842816,"direct from dataset","1","UK",2019,0,0.1,"EA",16.47,27.43,0.42
"77","Ruranska et al 2020","PR Bogside Flats","Bogside Flats","Salt marsh",55.618861,-4.6847677,"direct from dataset","1","UK",2019,0,0.1,"EA",14.79,22.97,0.57
"78","Ruranska et al 2020","PR Bogside Flats","Bogside Flats","Salt marsh",55.618862,-4.6841062,"direct from dataset","1","UK",2019,0,0.1,"EA",17.43,35.21,0.36
"79","Ruranska et al 2020","PR Bogside Flats","Bogside Flats","Salt marsh",55.618877,-4.6850279,"direct from dataset","1","UK",2019,0,0.1,"EA",16.29,24.43,0.55
"80","Ruranska et al 2020","PR Bogside Flats","Bogside Flats","Salt marsh",55.618855,-4.6844995,"direct from dataset","1","UK",2019,0,0.1,"EA",13.05,25.1,0.46
"81","Ruranska et al 2020","PR Burgh (Solway)","Burgh (Solway)","Salt marsh",54.923122,-3.0853725,"direct from dataset","1","UK",2019,0,0.1,"EA",10.53,19.53,0.73
"82","Ruranska et al 2020","PR Burgh (Solway)","Burgh (Solway)","Salt marsh",54.925459,-3.0863717,"direct from dataset","1","UK",2019,0,0.1,"EA",26.15,42.25,0.42
"83","Ruranska et al 2020","PR Burgh (Solway)","Burgh (Solway)","Salt marsh",54.927685,-3.0907387,"direct from dataset","1","UK",2019,0,0.1,"EA",16.33,31.83,0.45
"84","Ruranska et al 2020","PR Burgh (Solway)","Burgh (Solway)","Salt marsh",54.930157,-3.0906028,"direct from dataset","1","UK",2019,0,0.1,"EA",10.11,19.48,0.67
"85","Ruranska et al 2020","PR Burgh (Solway)","Burgh (Solway)","Salt marsh",54.932706,-3.0919828,"direct from dataset","1","UK",2019,0,0.1,"EA",2.21,3.65,1.17
"86","Ruranska et al 2020","PR Caerlaverock East","Caerlaverock East","Salt marsh",54.971146,-3.4762266,"direct from dataset","1","UK",2019,0,0.1,"EA",11.43,20.33,0.62
"87","Ruranska et al 2020","PR Caerlaverock East","Caerlaverock East","Salt marsh",54.972158,-3.475811,"direct from dataset","1","UK",2019,0,0.1,"EA",5.63,7.31,0.73
"88","Ruranska et al 2020","PR Caerlaverock East","Caerlaverock East","Salt marsh",54.96999,-3.4752625,"direct from dataset","1","UK",2019,0,0.1,"EA",10.74,24.24,0.43
"89","Ruranska et al 2020","PR Caerlaverock East","Caerlaverock East","Salt marsh",54.971778,-3.476781,"direct from dataset","1","UK",2019,0,0.1,"EA",12.87,25.94,0.44
"90","Ruranska et al 2020","PR Caerlaverock East","Caerlaverock East","Salt marsh",54.969268,-3.472549,"direct from dataset","1","UK",2019,0,0.1,"EA",1.06,3.14,1.2
"91","Ruranska et al 2020","PR Carthagena Bank","Carthagena Bank","Salt marsh",56.38500278,-3.194788889,"direct from dataset","1","UK",2019,0,0.1,"EA",3.32,11.4,0.68
"92","Ruranska et al 2020","PR Carthagena Bank","Carthagena Bank","Salt marsh",56.38565556,-3.197808333,"direct from dataset","1","UK",2019,0,0.1,"EA",8.85,16.76,0.69
"93","Ruranska et al 2020","PR Carthagena Bank","Carthagena Bank","Salt marsh",56.38466389,-3.193727778,"direct from dataset","1","UK",2019,0,0.1,"EA",7.01,13.58,0.52
"94","Ruranska et al 2020","PR Carthagena Bank","Carthagena Bank","Salt marsh",56.38430833,-3.192663889,"direct from dataset","1","UK",2019,0,0.1,"EA",5.12,8.96,0.71
"95","Ruranska et al 2020","PR Carthagena Bank","Carthagena Bank","Salt marsh",56.385475,-3.196341667,"direct from dataset","1","UK",2019,0,0.1,"EA",6.73,12.24,0.73
"96","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.583122,-4.421933,"direct from dataset","1","UK",2018,0,0.1,"EA",8.48,NA,NA
"97","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.582956,-4.421605,"direct from dataset","1","UK",2018,0,0.1,"EA",6.61,NA,NA
"98","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.582968,-4.421197,"direct from dataset","1","UK",2018,0,0.1,"EA",4.99,NA,NA
"99","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.582881,-4.421546,"direct from dataset","1","UK",2018,0,0.1,"EA",11.01,NA,NA
"100","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.582711,-4.421818,"direct from dataset","1","UK",2018,0,0.1,"EA",11.2,NA,NA
"101","Ruranska et al 2020","PR Cromarty Firth","Cromarty Firth","Salt marsh",57.582326,-4.420624,"direct from dataset","1","UK",2018,0,0.1,"EA",7.95,NA,NA
"102","Ruranska et al 2020","PR Culbin","Culbin","Salt marsh",57.604498,-3.813008,"direct from dataset","1","UK",2019,0,0.1,"EA",4.75,1.83,0.95
"103","Ruranska et al 2020","PR Culbin","Culbin","Salt marsh",57.604805,-3.813414,"direct from dataset","1","UK",2019,0,0.1,"EA",5.03,2.29,1.12
"104","Ruranska et al 2020","PR Culbin","Culbin","Salt marsh",57.605182,-3.813997,"direct from dataset","1","UK",2019,0,0.1,"EA",8.24,2.57,0.84
"105","Ruranska et al 2020","PR Culbin","Culbin","Salt marsh",57.605542,-3.814571,"direct from dataset","1","UK",2019,0,0.1,"EA",5.82,3.12,0.85
"106","Ruranska et al 2020","PR Culbin","Culbin","Salt marsh",57.605918,-3.815145,"direct from dataset","1","UK",2019,0,0.1,"EA",11.11,25.64,0.63
"107","Ruranska et al 2020","PR Culbin Bar","Culbin Bar","Salt marsh",57.615522,-3.7923312,"direct from dataset","1","UK",2019,0,0.1,"EA",15.98,45.78,0.24
"108","Ruranska et al 2020","PR Culbin Bar","Culbin Bar","Salt marsh",57.614853,-3.7913608,"direct from dataset","1","UK",2019,0,0.1,"EA",10.5,20.19,0.64
"109","Ruranska et al 2020","PR Culbin Bar","Culbin Bar","Salt marsh",57.61715,-3.7953414,"direct from dataset","1","UK",2019,0,0.1,"EA",2.95,5.11,1.02
"110","Ruranska et al 2020","PR Culbin Bar","Culbin Bar","Salt marsh",57.61652,-3.7941718,"direct from dataset","1","UK",2019,0,0.1,"EA",5.97,12.6,0.64
"111","Ruranska et al 2020","PR Culbin Bar","Culbin Bar","Salt marsh",57.616072,-3.7934968,"direct from dataset","1","UK",2019,0,0.1,"EA",5.9,8.69,0.82
"112","Ruranska et al 2020","PR Drynoch","Drynoch","Salt marsh",57.298505,-6.3152145,"direct from dataset","1","UK",2019,0,0.1,"EA",9.86,26.34,0.39
"113","Ruranska et al 2020","PR Drynoch","Drynoch","Salt marsh",57.298596,-6.3156904,"direct from dataset","1","UK",2019,0,0.1,"EA",17.1,20.68,0.44
"114","Ruranska et al 2020","PR Drynoch","Drynoch","Salt marsh",57.298464,-6.3140467,"direct from dataset","1","UK",2019,0,0.1,"EA",10.28,27.83,0.39
"115","Ruranska et al 2020","PR Drynoch","Drynoch","Salt marsh",57.298486,-6.3144481,"direct from dataset","1","UK",2019,0,0.1,"EA",11.82,25.83,0.39
"116","Ruranska et al 2020","PR Drynoch","Drynoch","Salt marsh",57.298518,-6.3148339,"direct from dataset","1","UK",2019,0,0.1,"EA",13.55,29.01,0.43
"117","Ruranska et al 2020","PR Dumbuck","Dumbuck","Salt marsh",55.93367778,-4.542894444,"direct from dataset","1","UK",2019,0,0.1,"EA",2.83,2.14,1.49
